,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2
1589,37645446.46981772,32382119.953257393,21890889.953257393,21890889.953257393,0
1590,42088643.38209561,36913347.0000649,26422117.000064902,26422117.000064902,0
1591,47889265.64609185,42129025.43718244,31637795.43718244,31637795.43718244,0
1592,50248902.2387985,43070761.02880767,32579531.02880767,32579531.02880767,0
1593,52104714.735673785,44309402.99211428,33818172.99211428,33818172.99211428,0
1594,52832662.02041815,44509035.462313116,34017805.462313116,34017805.462313116,0
1595,53112362.927336544,44135549.72853281,33644319.72853281,33644319.72853281,0
1596,53093635.65279124,43687379.295546256,33196149.295546256,33196149.295546256,0
1597,51758562.209401146,41457681.14443776,30966451.14443776,30966451.14443776,0
1598,50236820.126188636,40320037.11451723,29828807.114517227,29828807.114517227,0
1599,49588614.78466938,40598044.94778945,30106814.947789453,30106814.947789453,0
1600,51549541.66125049,43803016.683041774,33311786.683041774,33311786.683041774,0
1601,52750503.65467107,46517750.22532186,36026520.22532186,36026520.22532186,0
1602,55778885.18033377,49554921.49720608,39063691.49720608,39063691.49720608,0
1603,55016503.874651276,48864347.4257057,38373117.4257057,38373117.4257057,0
1604,52092028.517433435,45657499.70842132,35166269.70842132,35166269.70842132,0
1605,47349195.21243087,41203548.297526374,30712318.297526374,30712318.297526374,0
1606,41708056.83488486,35781994.32364811,25290764.32364811,25290764.32364811,0
1607,38219950.9244168,32320958.0624393,21829728.0624393,21829728.0624393,0
1608,38256801.36787689,32822843.817385886,22331613.817385886,22331613.817385886,0
1609,38109399.594036534,33330550.552843533,22839320.552843533,22839320.552843533,0
1610,37407428.85140337,33066890.25190037,22575660.25190037,22575660.25190037,0
1611,36734455.1790339,32811479.646429647,22320249.646429647,22320249.646429647,0
1612,36475897.969182774,32968342.183734022,22477112.183734022,22477112.183734022,0
1613,38029053.54518094,34798247.10068723,24307017.10068723,24307017.10068723,0
1614,42616027.597516224,39458979.73901036,28967749.739010356,28967749.739010356,0
1615,48931347.85869272,45169956.44132613,34678726.44132613,34678726.44132613,0
1616,51132104.67057965,46992881.550653554,36501651.550653554,36501651.550653554,0
1617,52818767.59091681,48116421.241217524,37625191.241217524,37625191.241217524,0
1618,53274263.23630872,48400262.1121863,37909032.1121863,37909032.1121863,0
1619,52677406.87338138,47902071.45170965,37410841.45170965,37410841.45170965,0
1620,52591019.768220864,48033146.72498329,37541916.72498329,37541916.72498329,0
1621,52152439.08048276,47821301.2743372,37330071.2743372,37330071.2743372,0
1622,51020949.23456888,47119971.98899755,36628741.98899755,36628741.98899755,0
1623,50754538.65152137,47359608.42972656,36868378.42972656,36868378.42972656,0
1624,51623846.653801166,48433433.307802126,37942203.307802126,37942203.307802126,0
1625,52856222.140007384,49189488.671594515,38698258.671594515,38698258.671594515,0
1626,54187670.94961454,49895290.66111935,39404060.66111935,39404060.66111935,0
1627,52763793.97854193,48266133.74405707,37774903.74405707,37774903.74405707,0
1628,49522163.16531513,44633777.79475613,34142547.79475613,34142547.79475613,0
1629,44900150.986411236,38794230.54655774,28303000.54655774,28303000.54655774,0
1630,40165775.16023557,33419329.58389632,22928099.58389632,22928099.58389632,0
1631,36863733.78395944,29799360.70455844,19308130.70455844,19308130.70455844,0
1632,36977305.642492175,29611720.048062924,19120490.048062924,19120490.048062924,0
1633,35999258.6267236,28745435.6676056,18254205.6676056,18254205.6676056,0
1634,34694994.570488654,28032729.412059404,17541499.412059404,17541499.412059404,0
1635,33534507.654311106,26553624.201127358,16062394.201127358,16062394.201127358,0
1636,32567938.645521898,24787020.471267894,14295790.471267894,14295790.471267894,0
1637,32993229.009389155,24537296.791323155,14046066.791323155,14046066.791323155,0
1638,34386900.69893709,25476850.053175278,14985620.053175278,14985620.053175278,0
1639,36497645.77188052,26990280.915917866,16499050.915917866,16499050.915917866,0
1640,40931781.099701025,31235984.15871612,20744754.15871612,20744754.15871612,0
1641,43561452.90923817,33712922.06259171,23221692.06259171,23221692.06259171,0
1642,43932373.766361035,34139914.77847465,23648684.77847465,23648684.77847465,0
1643,44180057.07486326,34400365.618012026,23909135.618012026,23909135.618012026,0
1644,44426532.172104515,34952154.00681486,24460924.00681486,24460924.00681486,0
1645,43532455.838974506,34143357.91437691,23652127.914376907,23652127.914376907,0
1646,42285581.817636415,33133123.297753513,22641893.297753513,22641893.297753513,0
1647,41933388.23505886,32264146.651645456,21772916.651645456,21772916.651645456,0
1648,42477687.40813326,33067970.853842393,22576740.853842393,22576740.853842393,0
1649,44604139.22746952,35711864.129458845,25220634.129458845,25220634.129458845,0
1650,47173400.47395733,38758340.17359885,28267110.17359885,28267110.17359885,0
1651,46581981.06170446,38264077.25243521,27772847.252435207,27772847.252435207,0
1652,43714895.73938346,36118916.03949052,25627686.03949052,25627686.03949052,0
1653,40317405.673489384,33538215.784478884,23046985.784478884,23046985.784478884,0
