,Nuclear,Biomass,CCGT,OCGT,Coal
1980,8219070.0,4692160.0,24823944.85,3619514.6268438213,0.0
1981,8219070.0,4692160.0,24823944.85,2692848.425687099,0.0
1982,8219070.0,4692160.0,24823944.85,1894418.7310110133,0.0
1983,8219070.0,4692160.0,24823944.85,1273971.9524547034,0.0
1984,8219070.0,4692160.0,24823944.85,1979839.04608631,0.0
1985,8219070.0,4692160.0,24823944.85,3480781.5730431546,0.0
1986,8219070.0,4692160.0,24823944.85,4642162.155989115,0.0
1987,8219070.0,4692160.0,24823944.85,4828212.737250669,0.0
1988,8219070.0,4692160.0,24823944.85,3563763.5791129908,0.0
1989,8219070.0,4692160.0,24823944.85,678322.2496392855,0.0
1990,8219070.0,4692160.0,22559810.12746311,0.0,0.0
1991,8219070.0,4692160.0,20909207.075729564,0.0,0.0
1992,8219070.0,4692160.0,20313402.123377934,0.0,0.0
1993,8219070.0,4692160.0,19895240.521909896,0.0,0.0
1994,8219070.0,4692160.0,18997468.909695487,0.0,0.0
1995,8219070.0,4692160.0,18109312.729602493,0.0,0.0
1996,8219070.0,4692160.0,17698340.23951763,0.0,0.0
1997,8219070.0,4692160.0,18102132.700398456,0.0,0.0
1998,8219070.0,4692160.0,18690458.70737859,0.0,0.0
1999,8219070.0,4692160.0,20138769.34626957,0.0,0.0
2000,8219070.0,4692160.0,22242682.34503014,0.0,0.0
2001,8219070.0,4692160.0,23563851.11887904,0.0,0.0
2002,8219070.0,4692160.0,24700389.26408279,0.0,0.0
2003,8219070.0,4692160.0,24823944.85,725915.0649691948,0.0
2004,8219070.0,4692160.0,24823944.85,364625.29627285,0.0
2005,8219070.0,4692160.0,24222189.124385387,0.0,0.0
2006,8219070.0,4692160.0,23969702.16538402,0.0,0.0
2007,8219070.0,4692160.0,24147253.155859213,0.0,0.0
2008,8219070.0,4692160.0,24823944.85,240811.46372157225,0.0
2009,8219070.0,4692160.0,24823944.85,913899.7563746381,0.0
2010,8219070.0,4692160.0,24823944.85,1181396.120902957,0.0
2011,8219070.0,4692160.0,24823944.85,1720788.2180052279,0.0
2012,8219070.0,4692160.0,24823944.85,442062.73253372166,0.0
2013,8219070.0,4692160.0,21542380.48087261,0.0,0.0
2014,8219070.0,4692160.0,19152907.76442766,0.0,0.0
2015,8219070.0,4692160.0,17953324.75099347,0.0,0.0
2016,8219070.0,4692160.0,18692245.087319374,0.0,0.0
2017,8219070.0,4692160.0,19275818.927673027,0.0,0.0
2018,8219070.0,4692160.0,18797221.79456737,0.0,0.0
2019,8219070.0,4692160.0,18549443.71359429,0.0,0.0
2020,8219070.0,4692160.0,19887460.236012,0.0,0.0
2021,8219070.0,4692160.0,23996762.531701695,0.0,0.0
2022,8219070.0,4692160.0,24823944.85,4273992.185343851,0.0
2023,8219070.0,4692160.0,24823944.85,5588101.419432576,0.0
2024,8219070.0,4692160.0,24823944.85,6139802.438367928,0.0
2025,8219070.0,4692160.0,24823944.85,6276606.722370694,0.0
2026,8219070.0,4692160.0,24823944.85,6739690.260612009,0.0
2027,8219070.0,4692160.0,24823944.85,6804320.0,1579153.4214842014
2028,8219070.0,4692160.0,24823944.85,6804320.0,1876009.520038515
2029,8219070.0,4692160.0,24823944.85,6804320.0,1077538.2750760932
2030,8219070.0,4692160.0,24823944.85,6804320.0,1418781.3078207618
2031,8219070.0,4692160.0,24823944.85,6804320.0,1197255.799983427
2032,8219070.0,4692160.0,24823944.85,6804320.0,1438675.5954490993
2033,8219070.0,4692160.0,24823944.85,6804320.0,941366.3078658041
2034,8219070.0,4692160.0,24823944.85,6804320.0,934666.6442635489
2035,8219070.0,4692160.0,24823944.85,6622294.680882269,0.0
2036,8219070.0,4692160.0,24823944.85,2459509.242965592,0.0
2037,8219070.0,4692160.0,21965429.662074503,0.0,0.0
2038,8219070.0,4692160.0,17186874.810331687,0.0,0.0
2039,8219070.0,4692160.0,15459948.129303366,0.0,0.0
2040,8219070.0,4692160.0,15181580.23915032,0.0,0.0
2041,8219070.0,4692160.0,14951909.914137822,0.0,0.0
2042,8219070.0,4692160.0,13702144.809616165,0.0,0.0
2043,8219070.0,4692160.0,13645549.374212753,0.0,0.0
2044,8219070.0,4692160.0,13487215.267208666,0.0,0.0
2045,8219070.0,4692160.0,16230508.828530092,0.0,0.0
2046,8219070.0,4692160.0,22142039.016770117,0.0,0.0
2047,8219070.0,4692160.0,24238853.50437754,0.0,0.0
2048,8219070.0,4692160.0,24414587.725346014,0.0,0.0
2049,8219070.0,4692160.0,24549808.582051758,0.0,0.0
2050,8219070.0,4692160.0,24763092.13530202,0.0,0.0
2051,8219070.0,4692160.0,24823944.85,411480.6902890116,0.0
2052,8219070.0,4692160.0,24491739.82904227,0.0,0.0
2053,8219070.0,4692160.0,24072693.17120033,0.0,0.0
2054,8219070.0,4692160.0,24206603.41451059,0.0,0.0
2055,8219070.0,4692160.0,24823944.85,1032106.9515807596,0.0
2056,8219070.0,4692160.0,24823944.85,1476133.7699614796,0.0
2057,8219070.0,4692160.0,24823944.85,1879222.838562141,0.0
2058,8219070.0,4692160.0,24823944.85,2367008.4927897025,0.0
2059,8219070.0,4692160.0,24823944.85,1487961.1509372327,0.0
2060,8219070.0,4692160.0,23334141.129407585,0.0,0.0
2061,8219070.0,4692160.0,19406033.31202112,0.0,0.0
2062,8219070.0,4692160.0,16480517.832877183,0.0,0.0
2063,8219070.0,4692160.0,15228888.795012835,0.0,0.0
2064,8219070.0,4692160.0,16706560.005675767,0.0,0.0
2065,8219070.0,4692160.0,17493775.30497215,0.0,0.0
2066,8219070.0,4692160.0,17281376.396291684,0.0,0.0
2067,8219070.0,4692160.0,17773077.711819056,0.0,0.0
2068,8219070.0,4692160.0,19070003.335297402,0.0,0.0
2069,8219070.0,4692160.0,24134856.15892722,0.0,0.0
2070,8219070.0,4692160.0,24823944.85,4818123.209583322,0.0
2071,8219070.0,4692160.0,24823944.85,6804320.0,25611.655025347136
2072,8219070.0,4692160.0,24823944.85,6804320.0,796326.8126518
