,TotalCustomerCons,TotalCustomerConsAfterRGen,TotalCustomerConsAfterTGen1,TotalCustomerConsAfterBattery,TotalCustomerConsAfterTGen2,Curtailement,Loss of load
1552,52811450.409463145,46417251.626857385,33281801.626857385,33281801.626857385,0.0,0.0,0.0
1553,54893643.31210192,49081766.65540152,35946316.65540152,35946316.65540152,0.0,0.0,0.0
1554,56981115.01364878,51370528.8397252,38235078.8397252,38235078.8397252,0.0,0.0,0.0
1555,55572262.23839855,50136488.32642851,37001038.32642851,37001038.32642851,0.0,0.0,0.0
1556,52426684.622384,47345058.4695432,34209608.4695432,34209608.4695432,0.0,0.0,0.0
1557,47774889.71792539,42860896.2776879,29725446.2776879,29725446.2776879,0.0,0.0,0.0
1558,42162939.94540491,37558932.64573847,24423482.645738468,24423482.645738468,0.0,0.0,0.0
1559,37314656.41492266,32618288.741784498,19482838.741784498,19482838.741784498,0.0,0.0,0.0
1560,37156878.98089172,32368289.668381844,19232839.668381844,19232839.668381844,0.0,0.0,0.0
1561,37562173.43039126,32881180.374802448,19745730.374802448,19745730.374802448,0.0,0.0,0.0
1562,37142802.18380348,32486251.314211372,19350801.314211372,19350801.314211372,0.0,0.0,0.0
1563,36611989.62693358,31837068.995484896,18701618.995484896,18701618.995484896,0.0,0.0,0.0
1564,36200829.84531392,31327513.160348535,18192063.160348535,18192063.160348535,0.0,0.0,0.0
1565,37793854.04913558,32809435.64982252,19673985.64982252,19673985.64982252,0.0,0.0,0.0
1566,42431572.15650591,37164026.09200379,24028576.092003793,24028576.092003793,0.0,0.0,0.0
1567,48376086.26023657,42761147.59548034,29625697.595480338,29625697.595480338,0.0,0.0,0.0
1568,50584970.33666969,44907537.72149763,31772087.721497633,31772087.721497633,0.0,0.0,0.0
1569,52122273.88535031,45719294.0611621,32583844.0611621,32583844.0611621,0.0,0.0,0.0
1570,52365685.16833485,45156650.61316475,32021200.613164753,32021200.613164753,0.0,0.0,0.0
1571,52065966.696997255,43970675.26322417,30835225.26322417,30835225.26322417,0.0,0.0,0.0
1572,50925746.13284805,42506172.233123094,29370722.233123094,29370722.233123094,0.0,0.0,0.0
1573,51061235.30482256,41828318.81645399,28692868.816453993,28692868.816453993,0.0,0.0,0.0
1574,49596075.34121929,40160791.1739613,27025341.173961297,27025341.173961297,0.0,0.0,0.0
1575,48888129.75432212,39496288.2807071,26360838.2807071,26360838.2807071,0.0,0.0,0.0
1576,50544499.54504095,41375638.348474756,28240188.348474756,28240188.348474756,0.0,0.0,0.0
1577,52136937.2156506,43986702.42982054,30851252.429820538,30851252.429820538,0.0,0.0,0.0
1578,54837336.123748854,46529834.35570265,33394384.355702654,33394384.355702654,0.0,0.0,0.0
1579,53803278.07097361,45193624.672544464,32058174.672544464,32058174.672544464,0.0,0.0,0.0
1580,50577931.93812556,40992814.524392,27857364.524392,27857364.524392,0.0,0.0,0.0
1581,46229961.23748863,36199774.43251595,23064324.43251595,23064324.43251595,0.0,0.0,0.0
1582,40793971.42857142,30651825.40439611,17516375.40439611,17516375.40439611,0.0,0.0,0.0
1583,37349848.407643326,27594145.394634776,14458695.394634776,14458695.394634776,0.0,0.0,0.0
1584,37260108.82620565,28563605.19907671,15428155.199076708,15428155.199076708,0.0,0.0,0.0
1585,36807305.18653321,28173934.937095057,15038484.937095057,15038484.937095057,0.0,0.0,0.0
